trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Colourcodes,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,StimulusPos,key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt
0,0,0,14,1,,5f91976a948f570115a30933,62bbfa2fd1527db7dc8c9419,2022-06-29_09h09.40.907,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,
0,1,1,36,1,,5f91976a948f570115a30933,62bbfa2fd1527db7dc8c9419,2022-06-29_09h09.40.907,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,
0,2,2,18,1,,5f91976a948f570115a30933,62bbfa2fd1527db7dc8c9419,2022-06-29_09h09.40.907,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,
0,3,3,10,1,,5f91976a948f570115a30933,62bbfa2fd1527db7dc8c9419,2022-06-29_09h09.40.907,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,
0,4,4,64,1,,5f91976a948f570115a30933,62bbfa2fd1527db7dc8c9419,2022-06-29_09h09.40.907,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,
0,5,5,58,1,,5f91976a948f570115a30933,62bbfa2fd1527db7dc8c9419,2022-06-29_09h09.40.907,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,
0,6,6,55,1,,5f91976a948f570115a30933,62bbfa2fd1527db7dc8c9419,2022-06-29_09h09.40.907,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,
0,7,7,44,1,,5f91976a948f570115a30933,62bbfa2fd1527db7dc8c9419,2022-06-29_09h09.40.907,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,
0,8,8,19,1,,5f91976a948f570115a30933,62bbfa2fd1527db7dc8c9419,2022-06-29_09h09.40.907,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,
0,9,9,81,1,,5f91976a948f570115a30933,62bbfa2fd1527db7dc8c9419,2022-06-29_09h09.40.907,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,
