trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Colourcodes,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,StimulusPos,key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Circle1_col,Ecc,Circle2_col,similarity,response_time,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,key_resp_22.keys,key_resp_22.rt,Circle1_colour,Circle2_colour,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,response_time_catch,Catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colourpair,Temporder,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_instr_Ishi.keys,key_resp_instr_Ishi.rt,Ishi_trial_keyresp.keys,Ishi_textbox.text,Ishi_mouse.x,Ishi_mouse.y,Ishi_mouse.leftButton,Ishi_mouse.midButton,Ishi_mouse.rightButton,Ishi_mouse.clicked_name,Ishi_loop.thisRepN,Ishi_loop.thisTrialN,Ishi_loop.thisN,Ishi_loop.thisIndex,Ishi_loop.ran,imageaddress,textbox.text,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.clicked_name,textbox_2.text,mouse_8.x,mouse_8.y,mouse_8.leftButton,mouse_8.midButton,mouse_8.rightButton,mouse_8.clicked_name,textbox_3.text,mouse_9.x,mouse_9.y,mouse_9.leftButton,mouse_9.midButton,mouse_9.rightButton,mouse_9.clicked_name,textbox_4.text,mouse_12.x,mouse_12.y,mouse_12.leftButton,mouse_12.midButton,mouse_12.rightButton,mouse_12.clicked_name,textbox_5.text,mouse_13.x,mouse_13.y,mouse_13.leftButton,mouse_13.midButton,mouse_13.rightButton,mouse_13.clicked_name,textbox_6.text,mouse_14.x,mouse_14.y,mouse_14.leftButton,mouse_14.midButton,mouse_14.rightButton,mouse_14.clicked_name,textbox_7.text,mouse_15.x,mouse_15.y,mouse_15.leftButton,mouse_15.midButton,mouse_15.rightButton,mouse_15.clicked_name
,,,,,,59b0565d2a78fd00010b8259,62c53a39c914d34f9b3fff62,2022-07-06_09h31.47.265,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,twofour,,-2,0.5326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.9766,-0.34920000000000007,0.2156]","[0.9686000000000001,0.5763999999999998,0.11359999999999992]",-78,-38,1,0,0,response5disk,-10,2.666656494,1,0,0,rectangle,-10,2.666656494,1,0,0,3,3,0.0004,0,-10,2.666656494,1,0,0,0,99,99,95,1,14,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,59b0565d2a78fd00010b8259,62c53a39c914d34f9b3fff62,2022-07-06_09h31.47.265,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,threeone,,1,0.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.9372,0.20779999999999998,0.2704]","[-0.01980000000000004,-0.5138,-0.38039999999999996]",27.33337402,-65.33334351,1,0,0,response3disk,1.333374023,2.666656494,1,0,0,rectangle,1.333374023,2.666656494,1,0,0,3,3,0.0001,0,1.333374023,2.666656494,1,0,0,0,100,100,143,1,62,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,59b0565d2a78fd00010b8259,62c53a39c914d34f9b3fff62,2022-07-06_09h31.47.265,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,threefour,,1,2.0832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.2862,0.7802,0.3568]","[-0.8198,-0.5138,-0.7492000000000001]",38.66668701,-72.66668701,1,0,0,response3disk,-11.33331299,0,1,0,0,rectangle,-11.33331299,0,1,0,0,3,1,0.0035,0,-11.33331299,0,1,0,0,0,101,101,53,1,53,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,59b0565d2a78fd00010b8259,62c53a39c914d34f9b3fff62,2022-07-06_09h31.47.265,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,threeone,,2,0.4501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.9686000000000001,0.5763999999999998,0.11359999999999992]","[0.7018,0.7802,-0.16079999999999994]",49.33337402,-28.66668701,1,0,0,response3disk,9.333374023,1.333312988,1,0,0,rectangle,9.333374023,1.333312988,1,0,0,3,2,0.0032,0,9.333374023,1.333312988,1,0,0,0,102,102,91,1,10,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,59b0565d2a78fd00010b8259,62c53a39c914d34f9b3fff62,2022-07-06_09h31.47.265,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,fourtwo,,4,0.4833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.26280000000000003,-0.2158,-0.3256]","[-0.9688,-0.38039999999999996,-0.41979999999999995]",37.33337402,65.33331299,1,0,0,response1disk,17.33337402,10,1,0,0,rectangle,17.33337402,10,1,0,0,3,2,0.0005,0,17.33337402,10,1,0,0,0,103,103,83,1,2,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,59b0565d2a78fd00010b8259,62c53a39c914d34f9b3fff62,2022-07-06_09h31.47.265,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,onethree,,2,2.3676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.9763999999999999,0.8588,-0.05900000000000005]","[0.34099999999999997,0.5841999999999998,-0.9844]",58.66668701,-44.66668701,1,0,0,response3disk,-2.666625977,-2.666687012,1,0,0,rectangle,-2.666625977,-2.666687012,1,0,0,3,2,0.0003,0,-2.666625977,-2.666687012,1,0,0,0,104,104,152,1,71,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,59b0565d2a78fd00010b8259,62c53a39c914d34f9b3fff62,2022-07-06_09h31.47.265,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,twofour,,2,0.6837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.3881999999999999,-0.23939999999999995,-0.05040000000000011]","[-0.26280000000000003,-0.4746,-0.2158]",69.33337402,-52.66668701,1,0,0,response3disk,6.666687012,-6.666687012,1,0,0,rectangle,39.33337402,-85.33334351,1,0,0,1,1,1.3976,1,-8,2,1,0,0,0,105,105,36,1,36,first,response3disk_3,rectangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,59b0565d2a78fd00010b8259,62c53a39c914d34f9b3fff62,2022-07-06_09h31.47.265,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,onethree,,-1,0.6002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.9688,-0.4902000000000001,-0.12159999999999993]","[0.04299999999999993,0.16060000000000008,-0.6628000000000001]",-32,-64.66668701,1,0,0,response5disk,-1.333312988,2.666656494,1,0,0,rectangle,-1.333312988,2.666656494,1,0,0,1,1,0.0002,0,-1.333312988,2.666656494,1,0,0,0,106,106,115,1,34,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,59b0565d2a78fd00010b8259,62c53a39c914d34f9b3fff62,2022-07-06_09h31.47.265,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,onetwo,,-2,0.4501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.26280000000000003,-0.2158,-0.3256]","[0.05879999999999996,0.2784,0.5841999999999998]",-48.66662598,-33.33334351,1,0,0,response5disk,8,-0.666687012,1,0,0,rectangle,8,-0.666687012,1,0,0,1,2,0.0031,0,8,-0.666687012,1,0,0,0,107,107,61,1,61,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,59b0565d2a78fd00010b8259,62c53a39c914d34f9b3fff62,2022-07-06_09h31.47.265,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,twoone,,-1,0.4501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.9213999999999998,0.6391999999999998,-0.9922]","[0.5449999999999999,-0.31000000000000005,-0.0354000000000001]",-29.33331299,-74.66668701,1,0,0,response5disk,1.333374023,-2,1,0,0,rectangle,1.333374023,-2,1,0,0,1,2,0.0003,0,1.333374023,-2,1,0,0,0,108,108,151,1,70,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,59b0565d2a78fd00010b8259,62c53a39c914d34f9b3fff62,2022-07-06_09h31.47.265,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,fourtwo,,-1,0.4661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.10599999999999998,-0.15300000000000002,0.15280000000000005]","[-0.9844,-0.9688,-0.9922]",-28.66662598,-66,1,0,0,response5disk,4.666687012,1.333312988,1,0,0,rectangle,4.666687012,1.333312988,1,0,0,1,3,0.0062,0,4.666687012,1.333312988,1,0,0,0,109,109,45,1,45,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,59b0565d2a78fd00010b8259,62c53a39c914d34f9b3fff62,2022-07-06_09h31.47.265,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,twofour,,-2,0.9663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.6235999999999999,-0.6786,-0.08239999999999992]","[-0.06680000000000008,-0.45100000000000007,-0.906]",-44.66662598,-22,1,0,0,response5disk,6.666687012,7.333312988,1,0,0,rectangle,6.666687012,7.333312988,1,0,0,1,3,0.0004,0,6.666687012,7.333312988,1,0,0,0,110,110,122,1,41,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,59b0565d2a78fd00010b8259,62c53a39c914d34f9b3fff62,2022-07-06_09h31.47.265,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,twoone,,-1,0.3833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.12939999999999996,-0.2864,0.3253999999999999]","[0.23920000000000008,0.2704,0.16060000000000008]",-33.33331299,-73.33334351,1,0,0,response5disk,-2.666625977,-2.666687012,1,0,0,rectangle,-2.666625977,-2.666687012,1,0,0,1,3,0.0002,0,-2.666625977,-2.666687012,1,0,0,0,111,111,52,1,52,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,59b0565d2a78fd00010b8259,62c53a39c914d34f9b3fff62,2022-07-06_09h31.47.265,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.0240096,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,onetwo,,-3,0.5337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.10599999999999998,-0.10599999999999998,0.5841999999999998]","[0.9372,0.9450000000000001,0.8980000000000001]",-77.33331299,36,1,0,0,response7disk,-2.666625977,2,1,0,0,rectangle,-2.666625977,2,1,0,0,1,1,0.002,0,-2.666625977,2,1,0,0,0,112,112,131,1,50,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
