trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Colourcodes,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,StimulusPos,key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Circle1_col,Ecc,Circle2_col,similarity,response_time,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.clicked_name,catchprac,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.clicked_name,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,key_resp_22.keys,key_resp_22.rt,Circle1_colour,Circle2_colour,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,response_time_catch,Catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colourpair,Temporder,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_instr_Ishi.keys,key_resp_instr_Ishi.rt,Ishi_trial_keyresp.keys,Ishi_textbox.text,Ishi_mouse.x,Ishi_mouse.y,Ishi_mouse.leftButton,Ishi_mouse.midButton,Ishi_mouse.rightButton,Ishi_mouse.clicked_name,Ishi_loop.thisRepN,Ishi_loop.thisTrialN,Ishi_loop.thisN,Ishi_loop.thisIndex,Ishi_loop.ran,imageaddress,Ishi_trial_keyresp.rt,textbox.text,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.clicked_name,textbox_2.text,mouse_8.x,mouse_8.y,mouse_8.leftButton,mouse_8.midButton,mouse_8.rightButton,mouse_8.clicked_name,textbox_3.text,mouse_9.x,mouse_9.y,mouse_9.leftButton,mouse_9.midButton,mouse_9.rightButton,mouse_9.clicked_name,textbox_4.text,mouse_12.x,mouse_12.y,mouse_12.leftButton,mouse_12.midButton,mouse_12.rightButton,mouse_12.clicked_name,textbox_5.text,mouse_13.x,mouse_13.y,mouse_13.leftButton,mouse_13.midButton,mouse_13.rightButton,mouse_13.clicked_name,textbox_6.text,mouse_14.x,mouse_14.y,mouse_14.leftButton,mouse_14.midButton,mouse_14.rightButton,mouse_14.clicked_name,textbox_7.text,mouse_15.x,mouse_15.y,mouse_15.leftButton,mouse_15.midButton,mouse_15.rightButton,mouse_15.clicked_name
,,,,,,60be4bf0987ab1493e8a7899,62c53a971e2430229b129e64,2022-07-06_09h33.01.577,Colour_Asymmetry_Pilot,2022.1.3,Win32,57.88041905,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,fourthree,,-3,0.4502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.9688,-0.4902000000000001,-0.12159999999999993]","[0.4196,0.4665999999999999,0.3568]",-101.333313,34.83331299,1,0,0,response7disk,-35.33331299,-10.5,1,0,0,rectangle,-35.33331299,-10.5,1,0,0,3,1,0.0008,0,-35.33331299,-10.5,1,0,0,0,113,113,108,1,27,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,60be4bf0987ab1493e8a7899,62c53a971e2430229b129e64,2022-07-06_09h33.01.577,Colour_Asymmetry_Pilot,2022.1.3,Win32,57.88041905,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,fourtwo,,-4,0.1834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.6,0.16860000000000008,0.44300000000000006]","[-0.01980000000000004,-0.5138,-0.38039999999999996]",-44.66662598,118.833313,1,0,0,response7disk,-14.66662598,0.166656494,1,0,0,rectangle,-14.66662598,0.166656494,1,0,0,3,2,0.0006,0,-14.66662598,0.166656494,1,0,0,0,114,114,67,1,67,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,60be4bf0987ab1493e8a7899,62c53a971e2430229b129e64,2022-07-06_09h33.01.577,Colour_Asymmetry_Pilot,2022.1.3,Win32,57.88041905,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,fourtwo,,-4,0.1165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.9213999999999998,0.6391999999999998,-0.9922]","[0.22340000000000004,-0.9296,-0.7884]",-40.66662598,96.83331299,1,0,0,response7disk,-20.66662598,19.5,1,0,0,rectangle,-20.66662598,19.5,1,0,0,-3,3,0.0007,0,-20.66662598,19.5,1,0,0,0,115,115,42,1,42,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,60be4bf0987ab1493e8a7899,62c53a971e2430229b129e64,2022-07-06_09h33.01.577,Colour_Asymmetry_Pilot,2022.1.3,Win32,57.88041905,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,fourthree,,-3,0.2335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.4276,0.0038000000000000256,-0.3256]","[0.12939999999999996,-0.2864,0.3253999999999999]",-76,66.83331299,1,0,0,response7disk,1.333374023,2.166656494,1,0,0,rectangle,1.333374023,2.166656494,1,0,0,-3,3,0.0001,0,1.333374023,2.166656494,1,0,0,0,116,116,17,1,17,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,60be4bf0987ab1493e8a7899,62c53a971e2430229b129e64,2022-07-06_09h33.01.577,Colour_Asymmetry_Pilot,2022.1.3,Win32,57.88041905,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,fourtwo,,-4,0.2495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.7802,-0.23140000000000005,-0.20799999999999996]","[-0.5688,-0.08239999999999992,-0.1844]",-32,112.1666565,1,0,0,response7disk,-10,13.5,1,0,0,rectangle,-10,13.5,1,0,0,-3,3,1E-04,0,-10,13.5,1,0,0,0,117,117,132,1,51,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,60be4bf0987ab1493e8a7899,62c53a971e2430229b129e64,2022-07-06_09h33.01.577,Colour_Asymmetry_Pilot,2022.1.3,Win32,57.88041905,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,twoone,,-3,0.8327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.5922000000000001,-0.7492000000000001,-0.5296000000000001]","[-0.06680000000000008,-0.45100000000000007,-0.906]",-80.66662598,58.16665649,1,0,0,response7disk,-30.66662598,8.166656494,1,0,0,rectangle,-30.66662598,8.166656494,1,0,0,-3,2,0.0008,0,-30.66662598,8.166656494,1,0,0,0,118,118,156,1,75,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,60be4bf0987ab1493e8a7899,62c53a971e2430229b129e64,2022-07-06_09h33.01.577,Colour_Asymmetry_Pilot,2022.1.3,Win32,57.88041905,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,twoone,,-3,0.2338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.5922000000000001,-0.7492000000000001,-0.5296000000000001]","[0.2784,-0.31000000000000005,-0.5452]",-98.66662598,67.5,1,0,0,response7disk,-16,0.833312988,1,0,0,rectangle,-16,0.833312988,1,0,0,-3,2,1E-04,0,-16,0.833312988,1,0,0,0,119,119,31,1,31,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,60be4bf0987ab1493e8a7899,62c53a971e2430229b129e64,2022-07-06_09h33.01.577,Colour_Asymmetry_Pilot,2022.1.3,Win32,57.88041905,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,threefour,,-4,0.2669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.17659999999999998,0.3253999999999999,0.19999999999999996]","[-0.8118,-0.8198,-0.5452]",-31.33331299,95.5,1,0,0,response7disk,-18.66662598,-1.166687012,1,0,0,rectangle,-18.66662598,-1.166687012,1,0,0,-3,1,0.0007,0,-18.66662598,-1.166687012,1,0,0,0,120,120,126,1,45,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,60be4bf0987ab1493e8a7899,62c53a971e2430229b129e64,2022-07-06_09h33.01.577,Colour_Asymmetry_Pilot,2022.1.3,Win32,57.88041905,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,twofour,,-4,0.3168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.6547999999999998,-0.043199999999999905,-0.011800000000000033]","[-0.34920000000000007,-0.702,-0.5216]",-36.66662598,65.5,1,0,0,response7disk,-8.666625977,17.5,1,0,0,rectangle,-8.666625977,17.5,1,0,0,-3,1,1E-04,0,-8.666625977,17.5,1,0,0,0,121,121,79,1,79,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,60be4bf0987ab1493e8a7899,62c53a971e2430229b129e64,2022-07-06_09h33.01.577,Colour_Asymmetry_Pilot,2022.1.3,Win32,57.88041905,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,fourthree,,-2,0.3332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.5528,0.7409999999999999,-0.71]","[-0.24719999999999998,-0.0354000000000001,0.3175999999999999]",-78,-49.83337402,1,0,0,response5disk,2.666687012,-7.166687012,1,0,0,rectangle,2.666687012,-7.166687012,1,0,0,-3,1,1E-04,0,2.666687012,-7.166687012,1,0,0,0,122,122,78,1,78,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
