trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Colourcodes,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,StimulusPos,key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Circle1_col,Ecc,Circle2_col,similarity,response_time,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,catchprac,mouse_7.clicked_name,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,Circle1_colour,Circle2_colour,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,response_time_catch,Catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colourpair,Temporder,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_instr_Ishi.keys,key_resp_instr_Ishi.rt,Ishi_trial_keyresp.keys,Ishi_textbox.text,Ishi_mouse.x,Ishi_mouse.y,Ishi_mouse.leftButton,Ishi_mouse.midButton,Ishi_mouse.rightButton,Ishi_mouse.clicked_name,Ishi_loop.thisRepN,Ishi_loop.thisTrialN,Ishi_loop.thisN,Ishi_loop.thisIndex,Ishi_loop.ran,imageaddress,textbox.text,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.clicked_name,textbox_2.text,mouse_8.x,mouse_8.y,mouse_8.leftButton,mouse_8.midButton,mouse_8.rightButton,mouse_8.clicked_name,textbox_3.text,mouse_9.x,mouse_9.y,mouse_9.leftButton,mouse_9.midButton,mouse_9.rightButton,mouse_9.clicked_name,textbox_4.text,mouse_12.x,mouse_12.y,mouse_12.leftButton,mouse_12.midButton,mouse_12.rightButton,mouse_12.clicked_name,textbox_5.text,mouse_13.x,mouse_13.y,mouse_13.leftButton,mouse_13.midButton,mouse_13.rightButton,mouse_13.clicked_name,textbox_6.text,mouse_14.x,mouse_14.y,mouse_14.leftButton,mouse_14.midButton,mouse_14.rightButton,mouse_14.clicked_name,textbox_7.text,mouse_15.x,mouse_15.y,mouse_15.leftButton,mouse_15.midButton,mouse_15.rightButton,mouse_15.clicked_name
,,,,,,60dc18e21694539ca0df125a,62c53aa518f098363fc36656,2022-07-06_09h34.23.341,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.31363088,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,onethree,,2,0.7666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.37240000000000006,-0.050999999999999934,-0.5216]","[0.7018,0.7176,0.6155999999999999]",68.79998779,-37.6000061,1,0,0,response3disk,14.40002441,-4.800018311,1,0,0,rectangle,14.40002441,-4.800018311,1,0,0,2,1,0.0005,0,14.40002441,-4.800018311,1,0,0,0,129,129,151,1,70,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,60dc18e21694539ca0df125a,62c53aa518f098363fc36656,2022-07-06_09h34.23.341,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.31363088,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,onethree,,3,0.5952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.3802000000000001,0.19199999999999995,-0.6394]","[0.2784,-0.31000000000000005,-0.5452]",52.79998779,23.19998169,1,0,0,response1disk,-2.399963379,-3.200012207,1,0,0,rectangle,-2.399963379,-3.200012207,1,0,0,2,3,0.0012,0,-2.399963379,-3.200012207,1,0,0,0,130,130,47,1,47,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,60dc18e21694539ca0df125a,62c53aa518f098363fc36656,2022-07-06_09h34.23.341,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.31363088,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,threefour,,1,2.1719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.3802000000000001,0.19199999999999995,-0.6394]","[-0.5452,-0.608,0.2470000000000001]",34.40002441,-76.80001831,1,0,0,response3disk,8,-8,1,0,0,rectangle,8,-8,1,0,0,2,3,0.0002,0,8,-8,1,0,0,0,131,131,121,1,40,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,60dc18e21694539ca0df125a,62c53aa518f098363fc36656,2022-07-06_09h34.23.341,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.31363088,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,twofour,,-2,0.6337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.9688,-0.38039999999999996,-0.41979999999999995]","[0.9763999999999999,0.30979999999999985,-0.6786]",-37.59997559,-21.6000061,1,0,0,response5disk,3.200012207,0,1,0,0,rectangle,3.200012207,0,1,0,0,2,2,0.0011,0,3.200012207,0,1,0,0,0,132,132,46,1,46,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,60dc18e21694539ca0df125a,62c53aa518f098363fc36656,2022-07-06_09h34.23.341,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.31363088,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,fourtwo,,3,1.0674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.9686000000000001,0.3802000000000001,0.19999999999999996]","[0.7018,0.7176,0.6155999999999999]",73.60003662,40,1,0,0,response1disk,4,8,1,0,0,rectangle,4,8,1,0,0,2,3,0.0012,0,4,8,1,0,0,0,133,133,115,1,34,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,60dc18e21694539ca0df125a,62c53aa518f098363fc36656,2022-07-06_09h34.23.341,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.31363088,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,threefour,,1,0.8009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.9844,-0.9688,-0.9922]","[-0.24719999999999998,-0.0354000000000001,0.3175999999999999]",23.20001221,-60,1,0,0,response3disk,-7.200012207,8.799987793,1,0,0,rectangle,-7.200012207,8.799987793,1,0,0,2,3,0.0001,0,-7.200012207,8.799987793,1,0,0,0,134,134,13,1,13,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,60dc18e21694539ca0df125a,62c53aa518f098363fc36656,2022-07-06_09h34.23.341,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.31363088,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,fourthree,,-1,1.0669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.12939999999999996,-0.2864,0.3253999999999999]","[-0.9844,-0.9688,-0.9922]",-16,-36,1,0,0,response5disk,9.600036621,-1.600006104,1,0,0,rectangle,9.600036621,-1.600006104,1,0,0,2,2,0.0006,0,9.600036621,-1.600006104,1,0,0,0,135,135,120,1,39,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,60dc18e21694539ca0df125a,62c53aa518f098363fc36656,2022-07-06_09h34.23.341,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.31363088,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,fourthree,,3,0.5493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.6625999999999999,0.4980000000000002,-0.357]","[-0.4276,0.0038000000000000256,-0.3256]",81.60003662,56,1,0,0,response1disk,10.40002441,8.799987793,1,0,0,rectangle,10.40002441,8.799987793,1,0,0,2,1,0.0008,0,10.40002441,8.799987793,1,0,0,0,136,136,112,1,31,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,60dc18e21694539ca0df125a,62c53aa518f098363fc36656,2022-07-06_09h34.23.341,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.31363088,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,onethree,,3,0.6834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.8115999999999999,-0.0040000000000000036,-0.09819999999999995]","[-0.011800000000000033,-0.906,-0.45100000000000007]",36.79998779,29.59997559,1,0,0,response1disk,7.200012207,8,1,0,0,rectangle,7.200012207,8,1,0,0,2,3,0.001,0,7.200012207,8,1,0,0,0,137,137,79,1,79,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,60dc18e21694539ca0df125a,62c53aa518f098363fc36656,2022-07-06_09h34.23.341,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.31363088,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,fourtwo,,3,0.7669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.2942,-0.24719999999999998,-0.357]","[-0.24719999999999998,0.5213999999999999,-0.12959999999999994]",54.40002441,30.3999939,1,0,0,response1disk,25.60003662,9.599975586,1,0,0,rectangle,25.60003662,9.599975586,1,0,0,2,2,0.0015,0,25.60003662,9.599975586,1,0,0,0,138,138,82,1,1,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
