trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Colourcodes,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,StimulusPos,key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Circle1_col,Ecc,Circle2_col,similarity,response_time,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.clicked_name,catchprac,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.clicked_name,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,key_resp_22.keys,key_resp_22.rt,Circle1_colour,Circle2_colour,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,catchresponse,catchnumber,response_time_catch,Catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colourpair,Temporder,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_instr_Ishi.keys,key_resp_instr_Ishi.rt,Ishi_trial_keyresp.keys,Ishi_trial_keyresp.rt,Ishi_textbox.text,Ishi_loop.thisRepN,Ishi_loop.thisTrialN,Ishi_loop.thisN,Ishi_loop.thisIndex,Ishi_loop.ran,imageaddress,textbox.text,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.clicked_name,textbox_2.text,mouse_8.x,mouse_8.y,mouse_8.leftButton,mouse_8.midButton,mouse_8.rightButton,mouse_8.clicked_name,textbox_3.text,mouse_9.x,mouse_9.y,mouse_9.leftButton,mouse_9.midButton,mouse_9.rightButton,mouse_9.clicked_name,textbox_4.text,mouse_12.x,mouse_12.y,mouse_12.leftButton,mouse_12.midButton,mouse_12.rightButton,mouse_12.clicked_name,textbox_5.text,mouse_13.x,mouse_13.y,mouse_13.leftButton,mouse_13.midButton,mouse_13.rightButton,mouse_13.clicked_name,textbox_6.text,mouse_14.x,mouse_14.y,mouse_14.leftButton,mouse_14.midButton,mouse_14.rightButton,textbox_7.text,mouse_15.x,mouse_15.y,mouse_15.leftButton,mouse_15.midButton,mouse_15.rightButton,mouse_15.clicked_name
,,,,,,5f843d6c842a0b04ab2faedb,62b2ad6c1e2691638a7866f0,2022-06-22_07h49.56.985,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.95203837,62b2a6a25f2ba72662469a01,,,,,,,,,,,,,,,,,,,,twoone,,-4,0.483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.19199999999999995,0.18419999999999992,0.5136000000000001]","[1,0.12939999999999996,-1]",-33,109.5,1,0,0,response7disk,8,3.5,1,0,0,rectangle,8,3.5,1,0,0,,3,2,0.0012,0,8,3.5,1,0,0,,0,75,75,127,1,46,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5f843d6c842a0b04ab2faedb,62b2ad6c1e2691638a7866f0,2022-06-22_07h49.56.985,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.95203837,62b2a6a25f2ba72662469a01,,,,,,,,,,,,,,,,,,,,threefour,,-1,0.3058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.9688,-0.7412000000000001,-0.4902000000000001]","[0.09799999999999986,-0.24719999999999998,0.15280000000000005]",-65,-101.5,1,0,0,response5disk,1,-9.5,1,0,0,rectangle,1,-9.5,1,0,0,,3,2,0.0001,0,1,-9.5,1,0,0,,0,76,76,81,1,0,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5f843d6c842a0b04ab2faedb,62b2ad6c1e2691638a7866f0,2022-06-22_07h49.56.985,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.95203837,62b2a6a25f2ba72662469a01,,,,,,,,,,,,,,,,,,,,fourtwo,,-2,0.3501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.19199999999999995,0.18419999999999992,0.5136000000000001]","[-0.4982,-0.2942,-0.0354000000000001]",-91,-46.5,1,0,0,response5disk,-12,-12.5,1,0,0,rectangle,-12,-12.5,1,0,0,,3,2,0.0002,0,-12,-12.5,1,0,0,,0,77,77,64,1,64,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5f843d6c842a0b04ab2faedb,62b2ad6c1e2691638a7866f0,2022-06-22_07h49.56.985,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.95203837,62b2a6a25f2ba72662469a01,,,,,,,,,,,,,,,,,,,,onetwo,,-4,0.2494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.24719999999999998,-0.0354000000000001,0.3175999999999999]","[0.22340000000000004,-0.9296,-0.7884]",-59,94.5,1,0,0,response7disk,2,4.5,1,0,0,rectangle,2,4.5,1,0,0,,3,2,0.0001,0,2,4.5,1,0,0,,0,78,78,87,1,6,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5f843d6c842a0b04ab2faedb,62b2ad6c1e2691638a7866f0,2022-06-22_07h49.56.985,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.95203837,62b2a6a25f2ba72662469a01,,,,,,,,,,,,,,,,,,,,fourthree,,-4,0.2723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.8118,-0.8198,-0.5452]","[0.30180000000000007,-0.7884,-0.9844]",-44,97.5,1,0,0,response7disk,15,-0.5,1,0,0,rectangle,15,-0.5,1,0,0,,3,3,0.0012,0,15,-0.5,1,0,0,,0,79,79,57,1,57,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5f843d6c842a0b04ab2faedb,62b2ad6c1e2691638a7866f0,2022-06-22_07h49.56.985,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.95203837,62b2a6a25f2ba72662469a01,,,,,,,,,,,,,,,,,,,,onethree,,-2,0.422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.23920000000000008,0.2704,0.16060000000000008]","[0.9686000000000001,0.5763999999999998,0.11359999999999992]",-86,-41.5,1,0,0,response5disk,-28,-3.5,1,0,0,rectangle,-28,-3.5,1,0,0,,3,3,0.0002,0,-28,-3.5,1,0,0,,0,80,80,137,1,56,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5f843d6c842a0b04ab2faedb,62b2ad6c1e2691638a7866f0,2022-06-22_07h49.56.985,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.95203837,62b2a6a25f2ba72662469a01,,,,,,,,,,,,,,,,,,,,onetwo,,-4,0.2557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.9686000000000001,0.5763999999999998,0.11359999999999992]","[-0.10599999999999998,-0.10599999999999998,0.5841999999999998]",-45,98.5,1,0,0,response7disk,4,-12.5,1,0,0,rectangle,4,-12.5,1,0,0,,3,2,0.001,0,4,-12.5,1,0,0,,0,81,81,70,1,70,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5f843d6c842a0b04ab2faedb,62b2ad6c1e2691638a7866f0,2022-06-22_07h49.56.985,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.95203837,62b2a6a25f2ba72662469a01,,,,,,,,,,,,,,,,,,,,onethree,,-1,0.3154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.2862,0.7802,0.3568]","[-0.9688,-0.38039999999999996,-0.41979999999999995]",-45,-124.5,1,0,0,response5disk,12,-8.5,1,0,0,rectangle,12,-8.5,1,0,0,,3,3,0.0012,0,12,-8.5,1,0,0,,0,82,82,132,1,51,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5f843d6c842a0b04ab2faedb,62b2ad6c1e2691638a7866f0,2022-06-22_07h49.56.985,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.95203837,62b2a6a25f2ba72662469a01,,,,,,,,,,,,,,,,,,,,threefour,,3,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1,0.12939999999999996,-1]","[0.9842,0.7409999999999999,-0.6628000000000001]",100,35.5,1,0,0,response1disk,35,-6.5,1,0,0,rectangle,35,-6.5,1,0,0,,3,3,0.0002,0,35,-6.5,1,0,0,,0,83,83,147,1,66,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5f843d6c842a0b04ab2faedb,62b2ad6c1e2691638a7866f0,2022-06-22_07h49.56.985,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.95203837,62b2a6a25f2ba72662469a01,,,,,,,,,,,,,,,,,,,,threefour,,-2,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.20799999999999996,-0.655,-0.01980000000000004]","[0.30180000000000007,-0.7884,-0.9844]",-128,-46.5,1,0,0,response5disk,-18,3.5,1,0,0,rectangle,-18,3.5,1,0,0,,3,3,1E-04,0,-18,3.5,1,0,0,,0,84,84,96,1,15,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5f843d6c842a0b04ab2faedb,62b2ad6c1e2691638a7866f0,2022-06-22_07h49.56.985,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.95203837,62b2a6a25f2ba72662469a01,,,,,,,,,,,,,,,,,,,,fourtwo,,3,0.4941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.05879999999999996,0.2784,0.5841999999999998]","[-0.09019999999999995,0.44300000000000006,0.5371999999999999]",93,64.5,1,0,0,response1disk,20,7.5,1,0,0,rectangle,20,7.5,1,0,0,,3,1,0.0012,0,20,7.5,1,0,0,,0,85,85,25,1,25,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5f843d6c842a0b04ab2faedb,62b2ad6c1e2691638a7866f0,2022-06-22_07h49.56.985,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.95203837,62b2a6a25f2ba72662469a01,,,,,,,,,,,,,,,,,,,,fourtwo,,-1,0.3174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.6706000000000001,-0.6157999999999999,-0.6786]","[0.9213999999999998,0.6391999999999998,-0.9922]",-72,-101.5,1,0,0,response5disk,-9,1.5,1,0,0,rectangle,-9,1.5,1,0,0,,3,3,0.0012,0,-9,1.5,1,0,0,,0,86,86,143,1,62,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5f843d6c842a0b04ab2faedb,62b2ad6c1e2691638a7866f0,2022-06-22_07h49.56.985,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.95203837,62b2a6a25f2ba72662469a01,,,,,,,,,,,,,,,,,,,,onetwo,,-2,0.5504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.8115999999999999,-0.0040000000000000036,-0.09819999999999995]","[-0.20799999999999996,-0.655,-0.01980000000000004]",-109,-48.5,1,0,0,response5disk,-47,1.5,1,0,0,rectangle,100,55.5,1,0,0,response1disk_3,3,3,0.9872,1,-14,-19.5,1,0,0,rectangle,0,87,87,97,1,16,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
