trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Colourcodes,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,StimulusPos,key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Circle1_col,Ecc,Circle2_col,similarity,response_time,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,mouse_7.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,Circle1_colour,Circle2_colour,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,response_time_catch,Catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colourpair,Temporder,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_instr_Ishi.keys,key_resp_instr_Ishi.rt,Ishi_trial_keyresp.keys,Ishi_trial_keyresp.rt,Ishi_textbox.text,Ishi_loop.thisRepN,Ishi_loop.thisTrialN,Ishi_loop.thisN,Ishi_loop.thisIndex,Ishi_loop.ran,imageaddress,textbox.text,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.clicked_name,textbox_2.text,mouse_8.x,mouse_8.y,mouse_8.leftButton,mouse_8.midButton,mouse_8.rightButton,mouse_8.clicked_name,textbox_3.text,mouse_9.x,mouse_9.y,mouse_9.leftButton,mouse_9.midButton,mouse_9.rightButton,mouse_9.clicked_name,textbox_4.text,mouse_12.x,mouse_12.y,mouse_12.leftButton,mouse_12.midButton,mouse_12.rightButton,mouse_12.clicked_name,textbox_5.text,mouse_13.x,mouse_13.y,mouse_13.leftButton,mouse_13.midButton,mouse_13.rightButton,mouse_13.clicked_name,textbox_6.text,mouse_14.x,mouse_14.y,mouse_14.leftButton,mouse_14.midButton,mouse_14.rightButton,mouse_14.clicked_name,textbox_7.text,mouse_15.x,mouse_15.y,mouse_15.leftButton,mouse_15.midButton,mouse_15.rightButton
,,,,,,60c33a1bde764fbff560a573,62bbfaf0a22562605f50725c,2022-06-29_08h12.26.040,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.11421701,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,,,,,onetwo,,-4,0.2667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.7176,-0.906,-0.6864]","[0.7646000000000002,0.07440000000000002,0.2704]",-44.66662598,61.33331299,1,0,0,response7disk,-19.33331299,0.666656494,1,0,0,rectangle,-19.33331299,0.666656494,1,0,0,3,1,0.0007,0,-19.33331299,0.666656494,1,0,0,0,146,146,91,1,10,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,60c33a1bde764fbff560a573,62bbfaf0a22562605f50725c,2022-06-29_08h12.26.040,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.11421701,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,,,,,twoone,,-4,0.3614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.5449999999999999,-0.31000000000000005,-0.0354000000000001]","[0.8115999999999999,-0.0040000000000000036,-0.09819999999999995]",-20.66662598,52,1,0,0,response7disk,-15.33331299,2.666656494,1,0,0,rectangle,-15.33331299,2.666656494,1,0,0,3,2,0.0014,0,-15.33331299,2.666656494,1,0,0,0,147,147,45,1,45,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,60c33a1bde764fbff560a573,62bbfaf0a22562605f50725c,2022-06-29_08h12.26.040,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.11421701,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,,,,,onetwo,,-2,2.5837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.5688,-0.08239999999999992,-0.1844]","[0.8274000000000001,-0.5844,-0.9452]",-53.33331299,-25.33334351,1,0,0,response5disk,9.333374023,14,1,0,0,rectangle,9.333374023,14,1,0,0,3,2,9.99999E-05,0,9.333374023,14,1,0,0,0,148,148,61,1,61,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,60c33a1bde764fbff560a573,62bbfaf0a22562605f50725c,2022-06-29_08h12.26.040,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.11421701,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,,,,,onetwo,,-2,0.7445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.05879999999999996,0.2784,0.5841999999999998]","[-0.6942,-0.7648,-0.12959999999999994]",-62.66662598,-34.66668701,1,0,0,response5disk,-14.66662598,1.333312988,1,0,0,rectangle,-14.66662598,1.333312988,1,0,0,3,1,0.0005,0,-14.66662598,1.333312988,1,0,0,0,149,149,155,1,74,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,60c33a1bde764fbff560a573,62bbfaf0a22562605f50725c,2022-06-29_08h12.26.040,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.11421701,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,,,,,threefour,,-4,0.3668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.4982,-0.2942,-0.0354000000000001]","[0.30180000000000007,-0.7884,-0.9844]",-60,89.33331299,1,0,0,response7disk,-20.66662598,4.666656494,1,0,0,rectangle,-20.66662598,4.666656494,1,0,0,3,1,0.0001,0,-20.66662598,4.666656494,1,0,0,0,150,150,63,1,63,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,60c33a1bde764fbff560a573,62bbfaf0a22562605f50725c,2022-06-29_08h12.26.040,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.11421701,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,,,,,threefour,,-4,0.2497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.6235999999999999,-0.6786,-0.08239999999999992]","[-0.4276,0.0038000000000000256,-0.3256]",-41.33331299,68,1,0,0,response7disk,-13.33331299,10.66665649,1,0,0,rectangle,-13.33331299,10.66665649,1,0,0,3,3,0.0005,0,-13.33331299,10.66665649,1,0,0,0,151,151,151,1,70,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,60c33a1bde764fbff560a573,62bbfaf0a22562605f50725c,2022-06-29_08h12.26.040,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.11421701,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,,,,,threefour,,-3,0.3277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.796,0.2156,-0.27859999999999996]","[-0.24719999999999998,0.5213999999999999,-0.12959999999999994]",-56,42,1,0,0,response7disk,-12,0,1,0,0,rectangle,-12,0,1,0,0,3,1,0.0006,0,-12,0,1,0,0,0,152,152,68,1,68,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,60c33a1bde764fbff560a573,62bbfaf0a22562605f50725c,2022-06-29_08h12.26.040,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.11421701,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,,,,,threeone,,-4,0.3277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.9213999999999998,0.6391999999999998,-0.9922]","[0.9372,0.9450000000000001,0.8980000000000001]",-28.66662598,59.33331299,1,0,0,response7disk,-26,8.666656494,1,0,0,rectangle,-26,8.666656494,1,0,0,3,1,0.0002,0,-26,8.666656494,1,0,0,0,153,153,137,1,56,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,60c33a1bde764fbff560a573,62bbfaf0a22562605f50725c,2022-06-29_08h12.26.040,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.11421701,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,,,,,onetwo,,-4,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.22340000000000004,-0.9296,-0.7884]","[-0.10599999999999998,-0.10599999999999998,0.5841999999999998]",-26,38.66665649,1,0,0,response7disk,4,-5.333343506,1,0,0,rectangle,4,-5.333343506,1,0,0,3,2,0.0009,0,4,-5.333343506,1,0,0,0,154,154,54,1,54,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,60c33a1bde764fbff560a573,62bbfaf0a22562605f50725c,2022-06-29_08h12.26.040,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.11421701,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,,,,,onethree,,-4,0.2165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.011800000000000033,-0.906,-0.45100000000000007]","[0.34099999999999997,0.5841999999999998,-0.9844]",-22,48.66665649,1,0,0,response7disk,-0.666625977,-5.333343506,1,0,0,rectangle,-0.666625977,-5.333343506,1,0,0,3,2,9.99999E-05,0,-0.666625977,-5.333343506,1,0,0,0,155,155,140,1,59,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,60c33a1bde764fbff560a573,62bbfaf0a22562605f50725c,2022-06-29_08h12.26.040,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.11421701,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,,,,,twoone,,-2,0.8008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.07459999999999989,0.12139999999999995,-0.9922]","[-0.17659999999999998,0.3253999999999999,0.19999999999999996]",-49.33331299,-32,1,0,0,response5disk,-24,-10,1,0,0,rectangle,-24,-10,1,0,0,3,2,0.0001,0,-24,-10,1,0,0,0,156,156,73,1,73,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,60c33a1bde764fbff560a573,62bbfaf0a22562605f50725c,2022-06-29_08h12.26.040,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.11421701,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,,,,,twofour,,-4,0.3342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.8274000000000001,-0.5844,-0.9452]","[-0.9766,-0.6472,0.07440000000000002]",-30.66662598,48,1,0,0,response7disk,-18,10,1,0,0,rectangle,-18,10,1,0,0,3,1,0.0005,0,-18,10,1,0,0,0,157,157,66,1,66,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,60c33a1bde764fbff560a573,62bbfaf0a22562605f50725c,2022-06-29_08h12.26.040,Colour_Asymmetry_Pilot,2022.1.3,Win32,60.11421701,62bbe60bf3d75ef465d3e404,,,,,,,,,,,,,,,,,,,,twoone,,-4,1.9159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.6,0.16860000000000008,0.44300000000000006]","[0.5449999999999999,-0.31000000000000005,-0.0354000000000001]",-36,50.66665649,1,0,0,response7disk,-12.66662598,-2,1,0,0,rectangle,-12.66662598,-2,1,0,0,3,3,0.0008,0,-12.66662598,-2,1,0,0,0,158,158,17,1,17,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
