trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Colourcodes,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,StimulusPos
0,0,0,72,1,,603f973d9a8a8004b4206b1b,629c523f6219c72f71bafeee,2022-06-05_09h21.58.824,Colour_Asymmetry_Pilot,2022.1.3,Win32,143.4308663,629c4b6caf241d5e6e00bfc0,,,,,,
0,1,1,49,1,,603f973d9a8a8004b4206b1b,629c523f6219c72f71bafeee,2022-06-05_09h21.58.824,Colour_Asymmetry_Pilot,2022.1.3,Win32,143.4308663,629c4b6caf241d5e6e00bfc0,,,,,,
0,2,2,18,1,,603f973d9a8a8004b4206b1b,629c523f6219c72f71bafeee,2022-06-05_09h21.58.824,Colour_Asymmetry_Pilot,2022.1.3,Win32,143.4308663,629c4b6caf241d5e6e00bfc0,,,,,,
0,3,3,85,1,,603f973d9a8a8004b4206b1b,629c523f6219c72f71bafeee,2022-06-05_09h21.58.824,Colour_Asymmetry_Pilot,2022.1.3,Win32,143.4308663,629c4b6caf241d5e6e00bfc0,,,,,,
0,4,4,29,1,,603f973d9a8a8004b4206b1b,629c523f6219c72f71bafeee,2022-06-05_09h21.58.824,Colour_Asymmetry_Pilot,2022.1.3,Win32,143.4308663,629c4b6caf241d5e6e00bfc0,,,,,,
0,5,5,56,1,,603f973d9a8a8004b4206b1b,629c523f6219c72f71bafeee,2022-06-05_09h21.58.824,Colour_Asymmetry_Pilot,2022.1.3,Win32,143.4308663,629c4b6caf241d5e6e00bfc0,,,,,,
0,6,6,43,1,,603f973d9a8a8004b4206b1b,629c523f6219c72f71bafeee,2022-06-05_09h21.58.824,Colour_Asymmetry_Pilot,2022.1.3,Win32,143.4308663,629c4b6caf241d5e6e00bfc0,,,,,,
0,7,7,54,1,,603f973d9a8a8004b4206b1b,629c523f6219c72f71bafeee,2022-06-05_09h21.58.824,Colour_Asymmetry_Pilot,2022.1.3,Win32,143.4308663,629c4b6caf241d5e6e00bfc0,,,,,,
0,8,8,23,1,,603f973d9a8a8004b4206b1b,629c523f6219c72f71bafeee,2022-06-05_09h21.58.824,Colour_Asymmetry_Pilot,2022.1.3,Win32,143.4308663,629c4b6caf241d5e6e00bfc0,,,,,,
0,9,9,35,1,,603f973d9a8a8004b4206b1b,629c523f6219c72f71bafeee,2022-06-05_09h21.58.824,Colour_Asymmetry_Pilot,2022.1.3,Win32,143.4308663,629c4b6caf241d5e6e00bfc0,,,,,,
0,10,10,90,1,,603f973d9a8a8004b4206b1b,629c523f6219c72f71bafeee,2022-06-05_09h21.58.824,Colour_Asymmetry_Pilot,2022.1.3,Win32,143.4308663,629c4b6caf241d5e6e00bfc0,,,,,,
0,11,11,63,1,,603f973d9a8a8004b4206b1b,629c523f6219c72f71bafeee,2022-06-05_09h21.58.824,Colour_Asymmetry_Pilot,2022.1.3,Win32,143.4308663,629c4b6caf241d5e6e00bfc0,,,,,,
0,12,12,1,1,,603f973d9a8a8004b4206b1b,629c523f6219c72f71bafeee,2022-06-05_09h21.58.824,Colour_Asymmetry_Pilot,2022.1.3,Win32,143.4308663,629c4b6caf241d5e6e00bfc0,,,,,,
0,13,13,62,1,,603f973d9a8a8004b4206b1b,629c523f6219c72f71bafeee,2022-06-05_09h21.58.824,Colour_Asymmetry_Pilot,2022.1.3,Win32,143.4308663,629c4b6caf241d5e6e00bfc0,,,,,,
0,14,14,50,1,,603f973d9a8a8004b4206b1b,629c523f6219c72f71bafeee,2022-06-05_09h21.58.824,Colour_Asymmetry_Pilot,2022.1.3,Win32,143.4308663,629c4b6caf241d5e6e00bfc0,,,,,,
0,15,15,19,1,,603f973d9a8a8004b4206b1b,629c523f6219c72f71bafeee,2022-06-05_09h21.58.824,Colour_Asymmetry_Pilot,2022.1.3,Win32,143.4308663,629c4b6caf241d5e6e00bfc0,,,,,,
0,16,16,41,1,,603f973d9a8a8004b4206b1b,629c523f6219c72f71bafeee,2022-06-05_09h21.58.824,Colour_Asymmetry_Pilot,2022.1.3,Win32,143.4308663,629c4b6caf241d5e6e00bfc0,,,,,,
0,17,17,57,1,,603f973d9a8a8004b4206b1b,629c523f6219c72f71bafeee,2022-06-05_09h21.58.824,Colour_Asymmetry_Pilot,2022.1.3,Win32,143.4308663,629c4b6caf241d5e6e00bfc0,,,,,,
0,18,18,7,1,,603f973d9a8a8004b4206b1b,629c523f6219c72f71bafeee,2022-06-05_09h21.58.824,Colour_Asymmetry_Pilot,2022.1.3,Win32,143.4308663,629c4b6caf241d5e6e00bfc0,,,,,,
0,19,19,69,1,,603f973d9a8a8004b4206b1b,629c523f6219c72f71bafeee,2022-06-05_09h21.58.824,Colour_Asymmetry_Pilot,2022.1.3,Win32,143.4308663,629c4b6caf241d5e6e00bfc0,,,,,,
0,20,20,13,1,,603f973d9a8a8004b4206b1b,629c523f6219c72f71bafeee,2022-06-05_09h21.58.824,Colour_Asymmetry_Pilot,2022.1.3,Win32,143.4308663,629c4b6caf241d5e6e00bfc0,,,,,,
0,21,21,9,1,,603f973d9a8a8004b4206b1b,629c523f6219c72f71bafeee,2022-06-05_09h21.58.824,Colour_Asymmetry_Pilot,2022.1.3,Win32,143.4308663,629c4b6caf241d5e6e00bfc0,,,,,,
0,22,22,59,1,,603f973d9a8a8004b4206b1b,629c523f6219c72f71bafeee,2022-06-05_09h21.58.824,Colour_Asymmetry_Pilot,2022.1.3,Win32,143.4308663,629c4b6caf241d5e6e00bfc0,,,,,,
0,23,23,64,1,,603f973d9a8a8004b4206b1b,629c523f6219c72f71bafeee,2022-06-05_09h21.58.824,Colour_Asymmetry_Pilot,2022.1.3,Win32,143.4308663,629c4b6caf241d5e6e00bfc0,,,,,,
0,24,24,61,1,,603f973d9a8a8004b4206b1b,629c523f6219c72f71bafeee,2022-06-05_09h21.58.824,Colour_Asymmetry_Pilot,2022.1.3,Win32,143.4308663,629c4b6caf241d5e6e00bfc0,,,,,,
0,25,25,71,1,,603f973d9a8a8004b4206b1b,629c523f6219c72f71bafeee,2022-06-05_09h21.58.824,Colour_Asymmetry_Pilot,2022.1.3,Win32,143.4308663,629c4b6caf241d5e6e00bfc0,,,,,,
0,26,26,36,1,,603f973d9a8a8004b4206b1b,629c523f6219c72f71bafeee,2022-06-05_09h21.58.824,Colour_Asymmetry_Pilot,2022.1.3,Win32,143.4308663,629c4b6caf241d5e6e00bfc0,,,,,,
0,27,27,80,1,,603f973d9a8a8004b4206b1b,629c523f6219c72f71bafeee,2022-06-05_09h21.58.824,Colour_Asymmetry_Pilot,2022.1.3,Win32,143.4308663,629c4b6caf241d5e6e00bfc0,,,,,,
0,28,28,76,1,,603f973d9a8a8004b4206b1b,629c523f6219c72f71bafeee,2022-06-05_09h21.58.824,Colour_Asymmetry_Pilot,2022.1.3,Win32,143.4308663,629c4b6caf241d5e6e00bfc0,,,,,,
0,29,29,81,1,,603f973d9a8a8004b4206b1b,629c523f6219c72f71bafeee,2022-06-05_09h21.58.824,Colour_Asymmetry_Pilot,2022.1.3,Win32,143.4308663,629c4b6caf241d5e6e00bfc0,,,,,,
0,30,30,51,1,,603f973d9a8a8004b4206b1b,629c523f6219c72f71bafeee,2022-06-05_09h21.58.824,Colour_Asymmetry_Pilot,2022.1.3,Win32,143.4308663,629c4b6caf241d5e6e00bfc0,,,,,,
