trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Colourcodes,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,StimulusPos,key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Circle1_col,Ecc,Circle2_col,similarity,response_time,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,mouse_7.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,Circle1_colour,Circle2_colour,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,catchresponse,catchnumber,response_time_catch,Catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colourpair,Temporder,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_instr_Ishi.keys,key_resp_instr_Ishi.rt,Ishi_trial_keyresp.keys,Ishi_trial_keyresp.rt,Ishi_textbox.text,Ishi_loop.thisRepN,Ishi_loop.thisTrialN,Ishi_loop.thisN,Ishi_loop.thisIndex,Ishi_loop.ran,imageaddress,textbox.text,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.clicked_name,textbox_2.text,mouse_8.x,mouse_8.y,mouse_8.leftButton,mouse_8.midButton,mouse_8.rightButton,mouse_8.clicked_name,textbox_3.text,mouse_9.x,mouse_9.y,mouse_9.leftButton,mouse_9.midButton,mouse_9.rightButton,mouse_9.clicked_name,textbox_4.text,mouse_12.x,mouse_12.y,mouse_12.leftButton,mouse_12.midButton,mouse_12.rightButton,mouse_12.clicked_name,textbox_5.text,mouse_13.x,mouse_13.y,mouse_13.leftButton,mouse_13.midButton,mouse_13.rightButton,mouse_13.clicked_name,textbox_6.text,mouse_14.x,mouse_14.y,mouse_14.leftButton,mouse_14.midButton,mouse_14.rightButton,mouse_14.clicked_name,textbox_7.text,mouse_15.x,mouse_15.y,mouse_15.leftButton,mouse_15.midButton,mouse_15.rightButton,mouse_15.clicked_name
,,,,,,615b2600b3e34d22c1daebd3,62b2acb96a6a27e7cc488d63,2022-06-22_07h54.53,Colour_Asymmetry_Pilot,2022.1.3,Linux armv7l,67.97634423,62b2a6a25f2ba72662469a01,,,,,,,,,,,,,,,,,,,,threeone,,4,0.88804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.8198,-0.5138,-0.7492000000000001]","[-0.6,0.16860000000000008,0.44300000000000006]",62,115,1,0,0,response1disk,-6,-6,1,0,0,rectangle,-6,-6,1,0,0,,2,2,0.00139,0,-6,-6,1,0,0,,0,21,21,5,1,5,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,615b2600b3e34d22c1daebd3,62b2acb96a6a27e7cc488d63,2022-06-22_07h54.53,Colour_Asymmetry_Pilot,2022.1.3,Linux armv7l,67.97634423,62b2a6a25f2ba72662469a01,,,,,,,,,,,,,,,,,,,,threeone,,4,1.39287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.01980000000000004,-0.5138,-0.38039999999999996]","[-0.06680000000000008,-0.45100000000000007,-0.906]",46,93,1,0,0,response1disk,5,-6,1,0,0,rectangle,5,-6,1,0,0,,2,2,0.000915,0,5,-6,1,0,0,,0,22,22,70,1,70,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,615b2600b3e34d22c1daebd3,62b2acb96a6a27e7cc488d63,2022-06-22_07h54.53,Colour_Asymmetry_Pilot,2022.1.3,Linux armv7l,67.97634423,62b2a6a25f2ba72662469a01,,,,,,,,,,,,,,,,,,,,onethree,,-1,1.99994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.9138,-0.5296000000000001,-0.5529999999999999]","[-0.4982,-0.2942,-0.0354000000000001]",-48,-123,1,0,0,response5disk,-3,7,1,0,0,rectangle,-3,7,1,0,0,,2,2,0.001125,0,-3,7,1,0,0,,0,23,23,134,1,53,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,615b2600b3e34d22c1daebd3,62b2acb96a6a27e7cc488d63,2022-06-22_07h54.53,Colour_Asymmetry_Pilot,2022.1.3,Linux armv7l,67.97634423,62b2a6a25f2ba72662469a01,,,,,,,,,,,,,,,,,,,,onethree,,-1,1.900965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.7018,0.7176,0.6155999999999999]","[-0.24719999999999998,0.5213999999999999,-0.12959999999999994]",-45,-127,1,0,0,response5disk,15,7,1,0,0,rectangle,15,7,1,0,0,,2,3,0.00338,0,15,7,1,0,0,,0,24,24,87,1,6,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,615b2600b3e34d22c1daebd3,62b2acb96a6a27e7cc488d63,2022-06-22_07h54.53,Colour_Asymmetry_Pilot,2022.1.3,Linux armv7l,67.97634423,62b2a6a25f2ba72662469a01,,,,,,,,,,,,,,,,,,,,fourthree,,4,0.53516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.7176,-0.906,-0.6864]","[0.9213999999999998,0.6391999999999998,-0.9922]",43,131,1,0,0,response1disk,6,-4,1,0,0,rectangle,6,-4,1,0,0,,2,2,0.003305,0,6,-4,1,0,0,,0,25,25,143,1,62,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,615b2600b3e34d22c1daebd3,62b2acb96a6a27e7cc488d63,2022-06-22_07h54.53,Colour_Asymmetry_Pilot,2022.1.3,Linux armv7l,67.97634423,62b2a6a25f2ba72662469a01,,,,,,,,,,,,,,,,,,,,fourtwo,,4,2.117715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.01980000000000004,-0.5138,-0.38039999999999996]","[0.9763999999999999,0.30979999999999985,-0.6786]",45,119,1,0,0,response1disk,15,7,1,0,0,rectangle,15,7,1,0,0,,2,3,0.003565,0,15,7,1,0,0,,0,26,26,66,1,66,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,615b2600b3e34d22c1daebd3,62b2acb96a6a27e7cc488d63,2022-06-22_07h54.53,Colour_Asymmetry_Pilot,2022.1.3,Linux armv7l,67.97634423,62b2a6a25f2ba72662469a01,,,,,,,,,,,,,,,,,,,,threefour,,4,0.80098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.8274000000000001,-0.5844,-0.9452]","[0.3568,-0.20799999999999996,-0.9844]",41,89,1,0,0,response1disk,11,-10,1,0,0,rectangle,11,-10,1,0,0,,2,3,0.00132,0,11,-10,1,0,0,,0,27,27,109,1,28,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,615b2600b3e34d22c1daebd3,62b2acb96a6a27e7cc488d63,2022-06-22_07h54.53,Colour_Asymmetry_Pilot,2022.1.3,Linux armv7l,67.97634423,62b2a6a25f2ba72662469a01,,,,,,,,,,,,,,,,,,,,threeone,,4,1.184045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.4196,0.4665999999999999,0.3568]","[-0.4902000000000001,0.2704,-0.45899999999999996]",42,97,1,0,0,response1disk,-2,-2,1,0,0,rectangle,-2,-2,1,0,0,,2,1,0.003455,0,-2,-2,1,0,0,,0,28,28,115,1,34,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,615b2600b3e34d22c1daebd3,62b2acb96a6a27e7cc488d63,2022-06-22_07h54.53,Colour_Asymmetry_Pilot,2022.1.3,Linux armv7l,67.97634423,62b2a6a25f2ba72662469a01,,,,,,,,,,,,,,,,,,,,onethree,,4,0.634605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.7412000000000001,-0.08239999999999992,-0.6864]","[0.4196,0.4665999999999999,0.3568]",53,110,1,0,0,response1disk,7,2,1,0,0,rectangle,7,2,1,0,0,,2,2,0.00395,0,7,2,1,0,0,,0,29,29,84,1,3,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,615b2600b3e34d22c1daebd3,62b2acb96a6a27e7cc488d63,2022-06-22_07h54.53,Colour_Asymmetry_Pilot,2022.1.3,Linux armv7l,67.97634423,62b2a6a25f2ba72662469a01,,,,,,,,,,,,,,,,,,,,twoone,,4,3.08485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.23920000000000008,0.2704,0.16060000000000008]","[-0.5688,-0.08239999999999992,-0.1844]",42,103,1,0,0,response1disk,-1,5,1,0,0,rectangle,-1,5,1,0,0,,2,1,0.007925,0,-1,5,1,0,0,,0,30,30,50,1,50,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,615b2600b3e34d22c1daebd3,62b2acb96a6a27e7cc488d63,2022-06-22_07h54.53,Colour_Asymmetry_Pilot,2022.1.3,Linux armv7l,67.97634423,62b2a6a25f2ba72662469a01,,,,,,,,,,,,,,,,,,,,fourthree,,-1,1.535155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.6706000000000001,-0.6157999999999999,-0.6786]","[-0.26280000000000003,-0.4746,-0.2158]",-45,-96,1,0,0,response5disk,-15,14,1,0,0,rectangle,-15,14,1,0,0,,2,1,0.001015,0,-15,14,1,0,0,,0,31,31,2,1,2,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,615b2600b3e34d22c1daebd3,62b2acb96a6a27e7cc488d63,2022-06-22_07h54.53,Colour_Asymmetry_Pilot,2022.1.3,Linux armv7l,67.97634423,62b2a6a25f2ba72662469a01,,,,,,,,,,,,,,,,,,,,onethree,,4,0.93478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.22340000000000004,-0.9296,-0.7884]","[0.7018,0.7802,-0.16079999999999994]",45,113,1,0,0,response1disk,7,1,1,0,0,rectangle,7,1,1,0,0,,2,2,0.003305,0,7,1,1,0,0,,0,32,32,137,1,56,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,615b2600b3e34d22c1daebd3,62b2acb96a6a27e7cc488d63,2022-06-22_07h54.53,Colour_Asymmetry_Pilot,2022.1.3,Linux armv7l,67.97634423,62b2a6a25f2ba72662469a01,,,,,,,,,,,,,,,,,,,,onethree,,4,1.47735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.8982,-0.37259999999999993,0.2784]","[0.2784,-0.31000000000000005,-0.5452]",56,114,1,0,0,response1disk,7,-6,1,0,0,rectangle,7,-6,1,0,0,,2,1,0.004535,0,7,-6,1,0,0,,0,33,33,49,1,49,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,615b2600b3e34d22c1daebd3,62b2acb96a6a27e7cc488d63,2022-06-22_07h54.53,Colour_Asymmetry_Pilot,2022.1.3,Linux armv7l,67.97634423,62b2a6a25f2ba72662469a01,,,,,,,,,,,,,,,,,,,,twoone,,-2,1.018345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.8118,-0.8198,-0.5452]","[0.2862,0.7802,0.3568]",-100,-58,1,0,0,response5disk,-30,-6,1,0,0,rectangle,-30,-6,1,0,0,,2,3,0.003205,0,-30,-6,1,0,0,,0,34,34,112,1,31,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,615b2600b3e34d22c1daebd3,62b2acb96a6a27e7cc488d63,2022-06-22_07h54.53,Colour_Asymmetry_Pilot,2022.1.3,Linux armv7l,67.97634423,62b2a6a25f2ba72662469a01,,,,,,,,,,,,,,,,,,,,threefour,,4,2.4838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.11359999999999992,0.6312,0.5213999999999999]","[-0.4982,-0.2942,-0.0354000000000001]",70,129,1,0,0,response1disk,-13,-2,1,0,0,rectangle,-13,-2,1,0,0,,2,1,0.003385,0,-13,-2,1,0,0,,0,35,35,80,1,80,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,615b2600b3e34d22c1daebd3,62b2acb96a6a27e7cc488d63,2022-06-22_07h54.53,Colour_Asymmetry_Pilot,2022.1.3,Linux armv7l,67.97634423,62b2a6a25f2ba72662469a01,,,,,,,,,,,,,,,,,,,,threefour,,4,0.63374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.9844,-0.9688,-0.9922]","[0.9763999999999999,0.8588,-0.05900000000000005]",57,120,1,0,0,response1disk,16,-6,1,0,0,rectangle,16,-6,1,0,0,,2,2,0.003285,0,16,-6,1,0,0,,0,36,36,127,1,46,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,615b2600b3e34d22c1daebd3,62b2acb96a6a27e7cc488d63,2022-06-22_07h54.53,Colour_Asymmetry_Pilot,2022.1.3,Linux armv7l,67.97634423,62b2a6a25f2ba72662469a01,,,,,,,,,,,,,,,,,,,,fourthree,,4,1.43356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.9213999999999998,0.6391999999999998,-0.9922]","[0.7176,-0.906,-0.6864]",38,87,1,0,0,response1disk,5,-1,1,0,0,rectangle,5,-1,1,0,0,,2,3,0.003225,0,5,-1,1,0,0,,0,37,37,62,1,62,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
