trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Colourcodes,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,StimulusPos,key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Circle1_col,Ecc,Circle2_col,similarity,response_time,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,mouse_7.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,Circle1_colour,Circle2_colour,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,response_time_catch,Catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colourpair,Temporder,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_instr_Ishi.keys,key_resp_instr_Ishi.rt,Ishi_trial_keyresp.keys,Ishi_trial_keyresp.rt,Ishi_textbox.text,Ishi_loop.thisRepN,Ishi_loop.thisTrialN,Ishi_loop.thisN,Ishi_loop.thisIndex,Ishi_loop.ran,imageaddress,textbox.text,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.clicked_name,textbox_2.text,mouse_8.x,mouse_8.y,mouse_8.leftButton,mouse_8.midButton,mouse_8.rightButton,mouse_8.clicked_name,textbox_3.text,mouse_9.x,mouse_9.y,mouse_9.leftButton,mouse_9.midButton,mouse_9.rightButton,mouse_9.clicked_name,textbox_4.text,mouse_12.x,mouse_12.y,mouse_12.leftButton,mouse_12.midButton,mouse_12.rightButton,mouse_12.clicked_name,textbox_5.text,mouse_13.x,mouse_13.y,mouse_13.leftButton,mouse_13.midButton,mouse_13.rightButton,mouse_13.clicked_name,textbox_6.text,mouse_14.x,mouse_14.y,mouse_14.leftButton,mouse_14.midButton,mouse_14.rightButton,mouse_14.clicked_name,textbox_7.text,mouse_15.x,mouse_15.y,mouse_15.leftButton,mouse_15.midButton,mouse_15.rightButton,mouse_15.clicked_name
,,,,,,5e4545c5a8f19a01c0fc53bd,62b2ac7f852545e3169afe08,2022-06-22_07h46.24.134,Colour_Asymmetry_Pilot,2022.1.3,Win32,142.9592566,62b2a6a25f2ba72662469a01,,,,,,,,,,,,,,,,,,,,onethree,,4,0.5348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.30200000000000005,0.14500000000000002,0.2784]","[-0.6,0.16860000000000008,0.44300000000000006]",48.00001216,103.1999707,1,0,0,response1disk,-3.199988604,5.599993646,1,0,0,rectangle,-3.199988604,5.599993646,1,0,0,1,1,0.0004,0,-3.199988604,5.599993646,1,0,0,0,57,57,62,1,62,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5e4545c5a8f19a01c0fc53bd,62b2ac7f852545e3169afe08,2022-06-22_07h46.24.134,Colour_Asymmetry_Pilot,2022.1.3,Win32,142.9592566,62b2a6a25f2ba72662469a01,,,,,,,,,,,,,,,,,,,,twoone,,1,1.6945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.6547999999999998,-0.043199999999999905,-0.011800000000000033]","[-0.38039999999999996,-0.4276,-0.1452]",56.80001229,-83.20000768,1,0,0,response3disk,4.000011504,-2.400006473,1,0,0,rectangle,4.000011504,-2.400006473,1,0,0,1,3,0.0008,0,4.000011504,-2.400006473,1,0,0,0,58,58,47,1,47,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5e4545c5a8f19a01c0fc53bd,62b2ac7f852545e3169afe08,2022-06-22_07h46.24.134,Colour_Asymmetry_Pilot,2022.1.3,Win32,142.9592566,62b2a6a25f2ba72662469a01,,,,,,,,,,,,,,,,,,,,fourtwo,,2,0.5139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.796,0.2156,-0.27859999999999996]","[0.8274000000000001,-0.5844,-0.9452]",93.60001284,-39.20000702,1,0,0,response3disk,11.20001161,-6.4373E-06,1,0,0,rectangle,11.20001161,-6.4373E-06,1,0,0,1,3,9.99999E-05,0,11.20001161,-6.4373E-06,1,0,0,0,59,59,102,1,21,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5e4545c5a8f19a01c0fc53bd,62b2ac7f852545e3169afe08,2022-06-22_07h46.24.134,Colour_Asymmetry_Pilot,2022.1.3,Win32,142.9592566,62b2a6a25f2ba72662469a01,,,,,,,,,,,,,,,,,,,,twoone,,-1,1.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.38039999999999996,-0.4276,-0.1452]","[0.6547999999999998,-0.043199999999999905,-0.011800000000000033]",-38.3999403,-81.60005648,1,0,0,response5disk,-1.59998858,-10.40000659,1,0,0,rectangle,-1.59998858,-10.40000659,1,0,0,1,2,0.0004,0,-1.59998858,-10.40000659,1,0,0,0,60,60,128,1,47,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5e4545c5a8f19a01c0fc53bd,62b2ac7f852545e3169afe08,2022-06-22_07h46.24.134,Colour_Asymmetry_Pilot,2022.1.3,Win32,142.9592566,62b2a6a25f2ba72662469a01,,,,,,,,,,,,,,,,,,,,twofour,,-1,0.9582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.9213999999999998,0.6391999999999998,-0.9922]","[-0.2942,-0.24719999999999998,-0.357]",-46.39994042,-76.00000757,1,0,0,response5disk,-3.999988616,-8.800006568,1,0,0,rectangle,-3.999988616,-8.800006568,1,0,0,1,2,0.0006,0,-3.999988616,-8.800006568,1,0,0,0,61,61,66,1,66,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5e4545c5a8f19a01c0fc53bd,62b2ac7f852545e3169afe08,2022-06-22_07h46.24.134,Colour_Asymmetry_Pilot,2022.1.3,Win32,142.9592566,62b2a6a25f2ba72662469a01,,,,,,,,,,,,,,,,,,,,threeone,,2,0.7153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.9686000000000001,0.3802000000000001,0.19999999999999996]","[0.09799999999999986,-0.24719999999999998,0.15280000000000005]",78.40001261,-41.60000706,1,0,0,response3disk,6.400011539,-6.4373E-06,1,0,0,rectangle,6.400011539,-6.4373E-06,1,0,0,1,3,0.0016,0,6.400011539,-6.4373E-06,1,0,0,0,62,62,70,1,70,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5e4545c5a8f19a01c0fc53bd,62b2ac7f852545e3169afe08,2022-06-22_07h46.24.134,Colour_Asymmetry_Pilot,2022.1.3,Win32,142.9592566,62b2a6a25f2ba72662469a01,,,,,,,,,,,,,,,,,,,,twofour,,-1,0.7151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.17659999999999998,-0.2864,-0.8354]","[0.9686000000000001,0.3802000000000001,0.19999999999999996]",-41.59998918,-77.60000759,1,0,0,response5disk,-1.59998858,-6.4373E-06,1,0,0,rectangle,-1.59998858,-6.4373E-06,1,0,0,1,2,0.0007,0,-1.59998858,-6.4373E-06,1,0,0,0,63,63,3,1,3,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5e4545c5a8f19a01c0fc53bd,62b2ac7f852545e3169afe08,2022-06-22_07h46.24.134,Colour_Asymmetry_Pilot,2022.1.3,Win32,142.9592566,62b2a6a25f2ba72662469a01,,,,,,,,,,,,,,,,,,,,fourthree,,4,0.6458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.5452,-0.608,0.2470000000000001]","[-0.4746,-0.0354000000000001,0.5449999999999999]",64.80001241,93.59999496,1,0,0,response1disk,-6.399939823,3.999993622,1,0,0,rectangle,-6.399939823,3.999993622,1,0,0,1,3,0.0017,0,-6.399939823,3.999993622,1,0,0,0,64,64,22,1,22,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5e4545c5a8f19a01c0fc53bd,62b2ac7f852545e3169afe08,2022-06-22_07h46.24.134,Colour_Asymmetry_Pilot,2022.1.3,Win32,142.9592566,62b2a6a25f2ba72662469a01,,,,,,,,,,,,,,,,,,,,onethree,,4,0.5973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.4668,-0.8746,-0.2942]","[-0.9844,-0.9688,-0.9922]",64.0000124,98.39999503,1,0,0,response1disk,-1.59998858,3.19999361,1,0,0,rectangle,-1.59998858,3.19999361,1,0,0,1,1,0.0008,0,-1.59998858,3.19999361,1,0,0,0,65,65,57,1,57,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5e4545c5a8f19a01c0fc53bd,62b2ac7f852545e3169afe08,2022-06-22_07h46.24.134,Colour_Asymmetry_Pilot,2022.1.3,Win32,142.9592566,62b2a6a25f2ba72662469a01,,,,,,,,,,,,,,,,,,,,onethree,,-2,0.7779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.7646000000000002,0.07440000000000002,0.2704]","[-0.5452,-0.608,0.2470000000000001]",-74.39994084,-35.20000696,1,0,0,response5disk,-16.79998881,7.19999367,1,0,0,rectangle,-16.79998881,7.19999367,1,0,0,1,2,0.0013,0,-16.79998881,7.19999367,1,0,0,0,66,66,54,1,54,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
