trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Colourcodes,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,StimulusPos,key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Circle1_col,Ecc,Circle2_col,similarity,response_time,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran
0,0,0,92,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,14,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,2,39,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,3,55,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,4,86,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,5,5,17,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,6,6,57,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,7,7,54,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8,8,82,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,9,9,65,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,10,10,3,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,11,11,77,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12,12,8,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,13,13,69,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,14,59,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,15,15,27,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,16,16,23,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,17,17,21,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,18,18,25,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19,19,32,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,20,20,63,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21,21,46,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,22,79,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,23,23,29,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,24,24,36,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
