trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Colourcodes,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,StimulusPos,key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Circle1_col,Ecc,Circle2_col,similarity,response_time,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,duringprac.order
0,0,0,5,1,,55c7a30dfdf99b546a55b6be,62c539e8d2b6fa4cee194348,2022-07-06_08h30.12.190,Colour_Asymmetry_Pilot,2022.1.3,Win32,145.7938475,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,70,1,,55c7a30dfdf99b546a55b6be,62c539e8d2b6fa4cee194348,2022-07-06_08h30.12.190,Colour_Asymmetry_Pilot,2022.1.3,Win32,145.7938475,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,2,47,1,,55c7a30dfdf99b546a55b6be,62c539e8d2b6fa4cee194348,2022-07-06_08h30.12.190,Colour_Asymmetry_Pilot,2022.1.3,Win32,145.7938475,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,3,78,1,,55c7a30dfdf99b546a55b6be,62c539e8d2b6fa4cee194348,2022-07-06_08h30.12.190,Colour_Asymmetry_Pilot,2022.1.3,Win32,145.7938475,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,4,64,1,,55c7a30dfdf99b546a55b6be,62c539e8d2b6fa4cee194348,2022-07-06_08h30.12.190,Colour_Asymmetry_Pilot,2022.1.3,Win32,145.7938475,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,5,5,72,1,,55c7a30dfdf99b546a55b6be,62c539e8d2b6fa4cee194348,2022-07-06_08h30.12.190,Colour_Asymmetry_Pilot,2022.1.3,Win32,145.7938475,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,6,6,11,1,,55c7a30dfdf99b546a55b6be,62c539e8d2b6fa4cee194348,2022-07-06_08h30.12.190,Colour_Asymmetry_Pilot,2022.1.3,Win32,145.7938475,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,7,7,18,1,,55c7a30dfdf99b546a55b6be,62c539e8d2b6fa4cee194348,2022-07-06_08h30.12.190,Colour_Asymmetry_Pilot,2022.1.3,Win32,145.7938475,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8,8,44,1,,55c7a30dfdf99b546a55b6be,62c539e8d2b6fa4cee194348,2022-07-06_08h30.12.190,Colour_Asymmetry_Pilot,2022.1.3,Win32,145.7938475,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,9,9,75,1,,55c7a30dfdf99b546a55b6be,62c539e8d2b6fa4cee194348,2022-07-06_08h30.12.190,Colour_Asymmetry_Pilot,2022.1.3,Win32,145.7938475,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
