session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
62c539c37b979cb36aef82e0,6164843e3a7290ad471f630f,RETURNED,2022-07-06 07:29:13.139000,,66819.045965,51,113,4,98,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62c539c39b00c337733a3179,5f03759a33e5d656f069b615,AWAITING REVIEW,2022-07-06 07:29:07.068000,2022-07-06 08:06:18.603000,2231.535,33,191,0,100,,8F964E17,Mexico,Mexico,Unemployed (and job seeking),Spanish,"English, Spanish",Mexico,Male,No
62c539c880569701d2f2d375,61078ef40ecc3ae99ceb0b07,AWAITING REVIEW,2022-07-06 07:29:12.567000,2022-07-06 07:52:40.524000,1407.957,19,70,0,100,,8F964E17,Mexico,Mexico,Unemployed (and job seeking),Spanish,"English, Spanish",Mexico,Female,Yes
62c539ca505ca495f1f3dbea,615d9a0ef34a6a806fe6ba3e,AWAITING REVIEW,2022-07-06 07:29:17.355000,2022-07-06 08:16:27.778000,2830.423,33,179,4,98,,8F964E17,Germany,Greece,Full-Time,Greek,"English, Greek, German",Greece,Female,Yes
62c539cac599ec119eba96d7,5de0e675a1a3fb13a6e351fc,AWAITING REVIEW,2022-07-06 07:29:16.874000,2022-07-06 08:34:57.676000,3940.802,25,170,6,95,,8F964E17,Greece,Greece,Full-Time,Greek,"German, French, English, Greek",Greece,Female,No
62c539cc424f00fccbaf4ee4,5ed40c08af400008d9286698,AWAITING REVIEW,2022-07-06 07:29:16.833000,2022-07-06 08:04:59.327000,2142.494,34,16,1,97,,8F964E17,South Africa,South Africa,Part-Time,DATA EXPIRED,English,South Africa,Female,No
62c539cedeca570d4abc80cb,615b20797df87e1bdb2bca91,AWAITING REVIEW,2022-07-06 07:30:50.280000,2022-07-06 08:04:32.110000,2021.83,25,67,0,100,,8F964E17,Italy,Italy,Unemployed (and job seeking),Italian,"English, Italian",Italy,Male,Yes
62c539d01ea850893376a8dc,615513578b8c1d40dcec3b25,AWAITING REVIEW,2022-07-06 07:29:20.755000,2022-07-06 07:57:14.476000,1673.721,20,79,1,100,,8F964E17,Mexico,Mexico,Unemployed (and job seeking),Spanish,"English, Spanish",Mexico,Female,Yes
62c539d1090ffd6a618437f5,608e66a90accb5f38c30ff64,AWAITING REVIEW,2022-07-06 07:29:21.138000,2022-07-06 08:07:55.071000,2313.933,32,43,1,100,,8F964E17,Greece,Greece,Unemployed (and job seeking),Greek,"English, Greek, French",Greece,Male,No
62c539d3d2b6fa4cee194347,6154f446688aad7658909dc9,AWAITING REVIEW,2022-07-06 07:34:11.941000,2022-07-06 08:00:32.365000,1580.424,23,90,0,100,,8F964E17,Mexico,Mexico,Part-Time,Spanish,"Spanish, English",Mexico,Female,Yes
62c539d607160c13dfb487c9,6159f6b637bab134ea9bb92e,AWAITING REVIEW,2022-07-06 07:29:31.766000,2022-07-06 07:58:10.950000,1719.184,23,41,1,99,,8F964E17,South Africa,South Africa,Full-Time,DATA EXPIRED,English,South Africa,Female,Yes
62c539d812f839c363f3eead,6135ce2a32b53777552a46b0,AWAITING REVIEW,2022-07-06 07:29:30.961000,2022-07-06 08:00:15.589000,1844.628,19,169,3,99,,8F964E17,South Africa,South Africa,Full-Time,DATA EXPIRED,"English, Afrikaans",South Africa,Male,Yes
62c539d8ad661cab646dafb4,5f10e66a9df7fd41db27b663,RETURNED,2022-07-06 07:29:28.912000,,66803.415345,22,341,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62c539d918e773dc848437f4,5d1463c5d40c1b00167822a8,AWAITING REVIEW,2022-07-06 07:29:29.780000,2022-07-06 08:04:56.113000,2126.333,22,155,2,100,,8F964E17,Mexico,Mexico,"Not in paid work (e.g. homemaker', 'retired or disabled)",Spanish,"English, Spanish",Mexico,Male,Yes
62c539dd7b979cb36aef82e3,6155752fd8e4f079cb44557d,AWAITING REVIEW,2022-07-06 07:30:37.955000,2022-07-06 07:55:09.314000,1471.359,29,32,0,100,,8F964E17,South Africa,South Africa,Full-Time,DATA EXPIRED,English,South Africa,Female,No
62c539e5a9e5fb366c1df9a7,60dc1397b91eb34c1687d694,AWAITING REVIEW,2022-07-06 07:29:41.597000,2022-07-06 07:59:41.814000,1800.217,26,56,2,99,,8F964E17,South Africa,South Africa,DATA EXPIRED,DATA EXPIRED,English,South Africa,Male,Yes
62c539e8d2b6fa4cee194348,55c7a30dfdf99b546a55b6be,RETURNED,2022-07-06 07:29:58.470000,,66773.900174,33,185,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62c539e9d2b6fa4cee194349,6162b219ce146c3f929c5c4c,AWAITING REVIEW,2022-07-06 07:29:45.308000,2022-07-06 07:56:33.127000,1607.819,25,114,0,100,,8F964E17,South Africa,South Africa,Full-Time,DATA EXPIRED,"Afrikaans, English",South Africa,Female,No
62c539ebdcb3a72c0035340a,5b77869d338a9300015468cf,AWAITING REVIEW,2022-07-06 07:29:47.181000,2022-07-06 07:50:49.409000,1262.228,24,457,3,100,,8F964E17,Chile,Chile,Full-Time,Spanish,"English, Spanish",Chile,Female,Yes
62c539eca9e5fb366c1df9a8,5ebeb4d5c03b440f47f505fc,AWAITING REVIEW,2022-07-06 07:31:44.879000,2022-07-06 07:58:36.174000,1611.295,24,129,1,100,,8F964E17,Greece,Greece,Full-Time,Greek,"English, Greek",Greece,Male,No
62c539ed9c20d67962129e59,5e8208d95442a6028e919b7f,AWAITING REVIEW,2022-07-06 07:29:49.864000,2022-07-06 07:55:44.399000,1554.535,29,185,1,100,,8F964E17,Italy,Italy,DATA EXPIRED,Italian,"Italian, English",Italy,Male,No
62c539ef07160c13dfb487cd,615200d54efc832849db2259,AWAITING REVIEW,2022-07-06 07:29:57.492000,2022-07-06 08:01:40.844000,1903.352,24,124,0,100,,8F964E17,South Africa,South Africa,Unemployed (and job seeking),DATA EXPIRED,English,South Africa,Male,Yes
62c539ef3ede2ab943e36d3f,5ef211cba33a988a6311bc67,AWAITING REVIEW,2022-07-06 07:29:54.018000,2022-07-06 07:57:10.860000,1636.842,22,64,1,100,,8F964E17,Poland,Poland,Unemployed (and job seeking),Polish,"English, Polish",Poland,Male,Yes
62c539f0cfff8ef2daef82d5,611d02e1074f8ebf85ea0ac8,RETURNED,2022-07-06 07:30:18.370000,,66754.076975,21,10,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62c539f1710891b46175a7cf,60cb4f111e27b7ab3656e188,AWAITING REVIEW,2022-07-06 07:29:57.589000,2022-07-06 08:00:30.641000,1833.052,50,82,1,100,,8F964E17,India,South Africa,Full-Time,Hindi,"Hindi, English",India,Female,No
62c539f23c3942f0dbd9d0ed,6171165b0a955ac648f01d30,RETURNED,2022-07-06 07:32:10.003000,,66642.466229,23,168,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62c539f2bd5b409f94a2e560,60e758107f8031dce149e796,AWAITING REVIEW,2022-07-06 07:29:54.541000,2022-07-06 08:04:17.339000,2062.798,26,88,0,100,,8F964E17,Zimbabwe,South Africa,Full-Time,DATA EXPIRED,English,South Africa,Male,No
