session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
62bbfb1c2b9df3349f2830c8,5f6e83419dd5cb3c85325fc6,AWAITING REVIEW,2022-06-29 07:11:38.524000,2022-06-29 07:43:15.864000,1897.34,66,227,4,98,,8F964E17,Sweden,Sweden,"Not in paid work (e.g. homemaker', 'retired or disabled)",Swedish,"English, Swedish",Sweden,Female,No
62bbfb1ff9b1e90a41468300,5e80b4893b435a0009ea44e6,AWAITING REVIEW,2022-06-29 07:20:21.866000,2022-06-29 08:07:22.379000,2820.513,23,106,0,100,,8F964E17,Italy,Italy,Full-Time,Italian,"Italian, English",Italy,Male,No
62bbfb2190e1cf83174d9127,61632bd53a9234c3d53d4d3e,AWAITING REVIEW,2022-06-29 07:19:59.001000,2022-06-29 07:52:39.373000,1960.372,22,79,2,99,,8F964E17,South Africa,South Africa,Other,DATA EXPIRED,English,South Africa,Female,Yes
62bbfb254ad240a03767c6fe,61092388694e2adf5487d611,AWAITING REVIEW,2022-06-29 07:11:33.943000,2022-06-29 07:33:27.709000,1313.766,24,132,0,100,,8F964E17,Poland,Poland,Other,Polish,"Polish, English",Poland,Male,Yes
62bbfb270e15271e2faad413,60e911d8667eccfdd32a590e,AWAITING REVIEW,2022-06-29 07:11:50.364000,2022-06-29 07:36:35.215000,1484.851,38,204,0,100,,8F964E17,Hong Kong,New Zealand,Full-Time,Cantonese,English,New Zealand,Female,No
62bbfb274c61705f1c44688e,60d093f31e3efc4f4468b466,AWAITING REVIEW,2022-06-29 07:11:35.553000,2022-06-29 07:49:23.598000,2268.045,40,152,2,99,,8F964E17,South Africa,South Africa,Full-Time,DATA EXPIRED,English,South Africa,Female,No
62bbfb2d447d54b1ac67c6fb,5db9877aee6f57000b1487c5,AWAITING REVIEW,2022-06-29 07:11:41.078000,2022-06-29 07:39:35.436000,1674.358,32,245,4,99,,8F964E17,Portugal,Netherlands,Full-Time,Portuguese,"Dutch, English, Portuguese, Spanish",Portugal,Male,No
62bbfb2f0e15271e2faad414,60315645c8c7420a2f1ade9c,AWAITING REVIEW,2022-06-29 07:20:30.271000,2022-06-29 08:12:39.476000,3129.205,35,345,5,98,,8F964E17,Zimbabwe,South Africa,Full-Time,English,English,Zimbabwe,Male,No
62bbfb33119f06643ccab67b,5d964f340849000013172b22,AWAITING REVIEW,2022-06-29 07:11:49.437000,2022-06-29 07:48:04.856000,2175.419,32,530,2,100,,8F964E17,Netherlands,Netherlands,Part-Time,Dutch,"Dutch, English, Chinese",Netherlands,Female,No
62bbfb34425d1ebfb8460d75,5f7694edc99f3112b494e122,AWAITING REVIEW,2022-06-29 07:11:48.346000,2022-06-29 07:33:32.282000,1303.936,39,227,1,100,,8F964E17,Spain,Japan,DATA EXPIRED,Spanish,"English, Japanese, Spanish",Spain,Female,No
